recno,seq,reference,onlink
4,1,"Han, C., Yuan, W., Yu, F., Tang, Y., and Bao, Z., 2004, Geochemistry of the Dashui Gold Deposit in West Qinling Mountains, Gansu Province: Acta Geoscientifica Sinica, v. 25, no. 2, p. 127–132 (in Chinese with English abstract).",
4,3,"Peng X., Qing, C., Zhang, J. and others, 2010, Research on geological features and characteristics of inclusions of Zhongqu gold deposit in Maqu, Gansu, China (Abstract): Goldschmidt Conference Abstract 2010, p. A803.",
4,4,"Peng, X., Qing, C., Zhang, J., Chao, C., Young, H., and Xu, B., 2010, The research on the geologic characteristics and mineralization control factors of Dashui gold deposit in Maqu, Gansu Province, China: Geoscience and Remote Sensing (IITA-GRS), Second IITA International Conference, p. 235–238.",
4,5,"Peng, X., Zhang, J., Deng, H., Hu, Y., Qing, C., and Zhang, L., 2011, The fluid inclusion characteristics of Dashui gold deposit in Gansu Province, China (Abstract): Goldschmidt Conference Abstracts 2011, Mineralogical Magazine, p. 1618, last accessed October 17, 2011, at http://www.minersoc.org.","http://www.minersoc.org"
4,6,"Red Mountain Mining Ltd., 2009, Prospectus: Technical Report, 104 p., last accessed October 4, 2011, at http://www.redmm.com.au/files/2CD0N5OEX9/2167_RMM_Prospectus_Draft_6.pdf.","http://www.redmm.com.au/files/2CD0N5OEX9/2167_RMM_Prospectus_Draft_6.pdf"
4,7,"Red Mountain Mining Ltd., 2011, Red Mountain Mining Ltd. is an Australian based resource company currently focused on the exploration and development of two advanced gold projects in Gansu Province in China: Press Release of July 2011, 5 p., last accessed October 4, 2011, at http://www.redmm.com.au/files/FHAF4QZCJ7/July_2011_Cygnet_Captal_Research.pdf.","http://www.redmm.com.au/files/FHAF4QZCJ7/July_2011_Cygnet_Captal_Research.pdf"
4,8,"Sennitt, C.M., 2003, Technical report of the Laerma, Dashui, and Xiahe properties, Gannan Prefecture, Gansu Province, People Republic of China: Technical Report for Pargas Enterprises Ltd., 184 p., last accessed September 29, 2011, at http://www.infomine.com/index/pr/Pa159648.PDF.","http://www.infomine.com/index/pr/Pa159648.PDF"
4,9,"Wang, G., Luo, X., Gao, Q., Liang, M., and Dou, X., 2009, The research and promoted application of the GIST with geophysical and geochemical information in Zhongqu gold mine district, Gansu Province: Geology and Exploration, v. 45, no. 4, p. 450–455 (In Chinese with English abstract).",
5,8,"Zhou, T., Goldfarb, R.J., and Phillips, G.N., 2002, Tectonics and distribution of gold deposits in China—An overview: Mineralium Deposita, v. 37, p. 249–282.",
5,2,"Gu, X.X., Liu, J.M., Schulz, O., Vavtar, F., and Zheng, M.H., 2002, Syngenetic origin for the sediment-hosted gold deposits in NW Sichuan, China—Ore fabric evidence: Ore Geology Reviews, v. 22, p. 91–116.",
5,3,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
5,1,"Gu, X.X., 1994, Geochemical characteristics of the Triassic Tethys-turbidites in northwestern Sichuan, China—Implications for provenance and interpretation of the tectonic setting: Geochimica et Cosmochimica Acta, v. 58, no. 21, p. 4615–4631.",
5,4,"Mao, J., Goldfarb, R.J., Zhang, Z., Garwin, S., and Ren, F., 2002, Geology, distribution, and classification of gold deposits in the western Qinling belt, central China: Mineralium Deposita, v. 37, p. 352–377.",
5,5,"Peters, S.G., Huang, J., and Jing, C., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Qinling fold belt (Chuan-Shan-Gan) area, Shaanxi, Sichuan, and Gansu provinces, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 4, p. 167–254.",
5,6,"Wang, K.-R., and Zhou, Y.-Q., 1994, Mineralogy of the Carlin-type Dongbeizhai and Jinya gold deposits, southwestern China: International Geology Review, v. 36, p. 194–202.",
5,7,"Zheng, M., Zhou, Y., and Gu, X., 1991, Isotopic compositions in the Dongbeizhai fine disseminated gold deposit, Sichuan Province, and their genetic implications: Scientia Geologica Sinica, no. 2, p. 159–173 (in Chinese with English abstract).",
6,2,"Liu, J., Ye, J., Ying, H., Liu, J., Zheng, M., and Gu, X., 2002, Sediment-hosted micro-disseminated gold mineralization constrained by basin paleo-topographic highs in the Youjiang basin, south China: Journal of Asian Earth Sciences, v. 20, p. 517–533.",
6,1,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
6,3,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
6,4,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 95–166.",
6,5,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian–Qian–Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
6,6,"Zaw, K., Peters, S.G., Cromie, P., Burrett, C., and Hou, Z., 2007, Nature, diversity of deposit types and metallogenic relations of south China: Ore Geology Reviews, v. 31, p. 3–47.",
7,5,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian–Qian–Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
7,1,"Cromie, P.W., and Zaw, K., 2003, Geologic setting, nature of ore fluids and sulphur isotope geochemistry of the Fu Ning Carlin-type gold deposits, Yunnan Province, China: Geofluids, v. 3, p. 133–143.",
7,6,"Zaw, K., Peters, S.G., Cromie, P., Burrett, C., and Hou, Z., 2007, Nature, diversity of deposit types and metallogenic relations of south China: Ore Geology Reviews, v. 31, p. 3–47.",
7,2,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
7,3,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
7,4,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 95–166.",
8,5,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
8,1,"Ashley, R.P., Cunningham, C.G., Bostick, N.H., Dean, W.E., and Chou, I.-M., 1991, Geology and geochemistry of three sedimentary rock-hosted disseminated gold deposits in Guizhou Province, People’s Republic of China: Ore Geology Reviews, v. 6, p. 133–151.",
8,2,"Bao, Z., 2001, Geochemistry of the sediment-hosted disseminated gold deposits in southwestern Guizhou Province, China: Québec, Canada, University of Québec, Ph.D. Thesis unpublished, 265 p., last accessed August 26, 2011, at http://bibvir.uqac.ca/theses/12335071/12335071.pdf.","http://bibvir.uqac.ca/theses/12335071/12335071.pdf"
8,3,"Bao, Z., Zhao, Z., Guha, J., and Williams-Jones, A.E., 2004, HFSE, REE, and PGE geochemistry of three sedimentary rock-hosted disseminated gold deposits in southwestern Guizhou Province, China: Geochemical Journal, v. 38, p. 363–381.",
8,4,"Cunningham, C.G., Ashley, R.P., Chou, I.-M., Huang, Z., Chaoyuan, W., and Wenkang, L., 1988, Newly discovered sedimentary rock-hosted disseminated gold deposits in the People’s Republic of China: Economic Geology, v. 83, p. 1462–1467.",
8,6,"Liu, D., and Geng, W., 1985, On the mineral association and mineralization conditions of Carlin-type gold deposits in China: Geochimica, v. 3, p. 277–282 (in Chinese with English abstract).",
8,7,"Liu, J., Ye, J., Ying, H., Liu, J., Zheng, M., and Gu, X., 2002, Sediment-hosted micro-disseminated gold mineralization constrained by basin paleo-topographic highs in the Youjiang basin, south China: Journal of Asian Earth Sciences, v. 20, p. 517–533.",
8,8,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
8,9,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 95–166.",
8,10,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian-Qian–Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
8,11,"Zhang, X.-C., Spiro, B., Halls, C., Stanley, C.J., and Yang, K.-Y., 2003, Sediment-hosted disseminated gold deposits in southwest Guizhou, PRC—Their geological setting and origin in relation to mineralogical, fluid inclusion, and stable-isotope characteristics: International Geology Review, v. 45, p. 407–470.",
8,12,"Zaw, K., Peters, S.G., Cromie, P., Burrett, C., and Hou, Z., 2007, Nature, diversity of deposit types and metallogenic relations of south China: Ore Geology Reviews, v. 31, p. 3–47.",
9,1,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at  http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
9,2,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p.  95–166.",
9,3,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
10,3,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian–Qian–Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
10,1,"Cromie, P.W., and Zaw, K., 2003, Geologic setting, nature of ore fluids and sulphur isotope geochemistry of the Fu Ning Carlin-type gold deposits, Yunnan Province, China: Geofluids, v. 3, p. 133–143.",
10,2,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 95–166.",
11,6,"Jones, G., 2004, Geology of the Jinfeng gold deposit, a Chinese ‘Carlin’ analogy: Paper, 8 p., last accessed August 30, 2011, at http://www.smedg.org.au/Tiger/Jinfeng.htm.","http://www.smedg.org.au/Tiger/Jinfeng.htm"
11,7,"Marketwire, 2010, Eldorado Gold Corporation—Q3, 2010 financial and operating results: Press Release of October 28, 2010, p., last accessed August 31, 2011, at http://www.einnews.com/pr-news/205887-eldorado-gold-corporation-q3-2010.","http://www.einnews.com/pr-news/205887-eldorado-gold-corporation-q3-2010"
11,8,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
11,9,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 95–166.",
11,10,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
11,12,"Zhang, X.-C., Spiro, B., Halls, C., Stanley, C.J., and Yang, K.-Y., 2003, Sediment-hosted disseminated gold deposits in southwest Guizhou, PRC—Their geological setting and origin in relation to mineralogical, fluid inclusion, and stable-isotope characteristics: International Geology Review, v. 45, p. 407–470.",
11,11,"SRK Consulting, 2007, Jinfeng gold mine, Guizhou province, China: Technical Report, 107 p., last accessed August 30, 2011, at http://www.eldoradogold.com/i/pdf/2007TechnicalReportJinfeng.pdf.","http://www.eldoradogold.com/i/pdf/2007TechnicalReportJinfeng.pdf"
11,1,"Bao, Z., 2001, Geochemistry of the sediment-hosted disseminated gold deposits in southwestern Guizhou Province, China: Québec, Canada, University of Québec, Ph.D. Thesis unpublished, 265 p., last accessed August 26, 2011, at http://bibvir.uqac.ca/theses/12335071/12335071.pdf.","http://bibvir.uqac.ca/theses/12335071/12335071.pdf"
11,2,"Bao, Z., Zhao, Z., Guha, J., and Williams-Jones, A.E., 2004, HFSE, REE, and PGE geochemistry of three sedimentary rock-hosted disseminated gold deposits in southwestern Guizhou Province, China: Geochemical Journal, v. 38, p. 363–381.",
11,3,"Chen, M., Mao, J., Bierlein, F.P., Norman, T., and Uttley, P.J., 2011, Structural features and metallogenesis of the Carlin-type Jinfeng (Lannigou) gold deposit, Guizhou Province, China: Ore Geology Reviews, in press, doi:10.1016/j.oregeorev.2011.06.009, 18 p.",
11,4,"Eldorado Gold Corp., 2011, Jinfeng mine: News Release of March 30, 2011, 2 p., last accessed August 30, 2011, at http://www.eldoradogold.com/s/JinfengMine.asp?ReportID=375079.","http://www.eldoradogold.com/s/JinfengMine.asp?ReportID=375079"
11,5,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
12,9,"Zhao, L., Deng, J., Chen, X., Zhou, H., and Li, X., 2005, Structural control to the genesis of sediment-hosted disseminated Jinlonshan gold ore belt, China: Resource Geology, v. 55, no. 1, p. 9–19.",
12,1,"Liu, X.-H., Liu, S., Yang, D.-M., and Lu, Z.-M., 2008, Geological characteristics and ore searching direction of Jinlongshan gold deposit, Mid-Qiling: Northwestern Geology, no. 1, p. 110–120 (in Chinese with English abstract).",
12,2,"Mineweb, 2007, Major new gold find in China: Press Release of October 4, 2007, 1 p., last accessed October 17, 2011, at http://www.mineweb.co.za/mineweb/view/mineweb/en/page43?oid=37834&sn=Detail.","http://www.mineweb.co.za/mineweb/view/mineweb/en/page43?oid=37834&sn=Detail"
12,3,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
12,4,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Qinling fold belt (Chuan-Shan-Gan) area, Shaanxi, Sichuan, and Gansu provinces, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 167–254.",
12,5,"Zhang, F., 1997, Mode of occurrence of gold in micro-disseminated strata-bound Sb-Au deposits, Qinling region, China: Chinese Journal of Geochemistry, v. 16, no. 4, p. 374–382.",
12,6,"Zhang, F., Chen, Y., Li, C., Zhang, J., Ma, J., and Li, X., 2000, Geological and geochemical character and genesis of the Jinlongshan-Qiuling gold deposits in Qinling orogen—Metallogenic mechanism of the Qinling-pattern Carlin-type gold deposits: Science in China, Series D—Earth Science, v. 43, Supplement 1, p. 95–107.",
12,7,"Zhang, F., Ma, J., and Wei, K., 1996, Formation of the micro-disseminated strata-bound gold deposits, with special reference to structural evolution, Miliang area, Zhen’an County, Shaanxi Province, China: Chinese Journal of Geochemistry, v. 15, no. 4, p. 314–323.",
12,8,"Zhang, J., Chen, Y., Zhang, F., and Li, C., 2006, Ore fluid geochemistry of the Jinlongshan Carlin-type gold ore belt in Shaanxi Province, China: Chinese Journal of Geochemistry, v. 25, no. 1, p. 23–32.",
12,10,"Zhao, L., and Feng, Z., 2002, Control of favorable lithology on Jinlongshan micro-fine disseminated gold deposits, southern Qinling Mountains: Science in China, Series D—Earth Science, v. 45, no. 2, p. 123–132.",
13,1,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
13,9,"Zhou, Y.(J)., and Wang K., 2003, Gold in the Jinya Carlin-type Deposit—Characterization and implications: Journal of Minerals & Materials Characterization & Engineering, v. 2, no. 2, p. 83–100, last accessed August 23, 2011, at http://www.imp.mtu.edu/jmmce/issue2-2/2_Zhou_Gold_in_Carlin-type-Deposit.pdf.","http://www.imp.mtu.edu/jmmce/issue2-2/2_Zhou_Gold_in_Carlin-type-Deposit.pdf"
13,2,"Liu, J., Ye, J., Ying, H., Liu, J., Zheng, M., and Gu, X., 2002, Sediment-hosted micro-disseminated gold mineralization constrained by basin paleo-topographic highs in the Youjiang basin, south China: Journal of Asian Earth Sciences, v. 20, p. 517–533.",
13,3,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
13,4,"Peters, S.G., Huang, J., Li, Z., Jing, C., and Cai, Q., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 3, p. 95–166.",
13,5,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
13,6,"Wang, K.-R., and Zhou, Y.-Q., 1994, Mineralogy of the Carlin-type Dongbeizhai and Jinya gold deposits, southwestern China: International Geology Review, v. 36, p. 194–202.",
13,7,"Xiao, J., and Zhang, A., 1997, Discovery of thiophene-type compounds in Jinya gold deposit of Guangxi and its significance: Chinese Science Bulletin, v. 42, no. 12, p. 1009–1011.",
13,8,"Zaw, K., Peters, S.G., Cromie, P., Burrett, C., and Hou, Z., 2007, Nature, diversity of deposit types and metallogenic relations of south China: Ore Geology Reviews, v. 31, p. 3–47.",
14,6,"Sennitt, C.M., 2003, Technical report of the Laerma, Dashui, and Xiahe properties, Gannan Prefecture, Gansu Province, People Republic of China: Technical Report for Pargas Enterprises Ltd., 184 p., last accessed September 29, 2011, at http://www.infomine.com/index/pr/Pa159648.PDF.","http://www.infomine.com/index/pr/Pa159648.PDF"
14,7,"Wen, H., Carignan, J., Qiu, Y., and Liu, S., 2006, Selenium speciation in kerogen from two Chinese selenium deposits—Environmental implications: Environmental Science and Technology, v. 40, no. 4, p. 1126–1132.",
14,1,"Liu, J., Zheng, M., Liu, J., Zhou, Y., Gu, X., Zhang, B., and Lu, W., 1997, Selenium enrichment in Cambrian stratabound gold deposits in the western Qinling Mountains: Acta Geologica Sinica, v. 71, no. 4, p. 423–432.",
14,2,"Liu, J., Liu, J., Zheng, M., and Liu, X., 2000, Au-Se paragenesis in Cambrian gold deposits, western Qinling Mountains, China: International Geology Review, v. 42, p. 1037–1045.",
14,3,"Liu, J., Zheng, M., Liu, J., and Su, W., 2000, Geochemistry of the Laerma and Qiongmo deposits in the western Qinling Mountains, China: Ore Geology Reviews, v. 17, p. 91–111.",
14,4,"Mao, J., Goldfarb, R.J., Zhang, Z., Garwin, S., and Ren, F., 2002, Geology, distribution, and classification of gold deposits in the western Qinling belt, central China: Mineralium Deposita, v. 37, p. 352–377.",
14,5,"Peters, S.G., Huang, J., and Jing, C., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Qinling fold belt (Chuan-Shan-Gan) area, Shaanxi, Sichuan, and Gansu provinces, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 4, p. 167–254.",
15,5,"Peters, S.G., Huang, J., Li, Z., and Jing, C., 2007, Sedimentary rock-hosted Au deposits of the Dian-Qian-Gui area, Guizhou and Yunnan provinces, and Guangxi district, China: Ore Geology Reviews, v. 31, p. 170–204.",
15,1,"Lin, N., 1994, Ore characteristics and genesis of Langquan gold deposit: Geology and Prospecting, v. 30, no. 3, p. 1–8 (in Chinese).",
15,2,"Liu, J., Ye, J., Ying, H., Liu, J., Zheng, M., and Gu, X., 2002, Sediment-hosted micro-disseminated gold mineralization constrained by basin paleo-topographic highs in the Youjiang basin, south China: Journal of Asian Earth Sciences, v. 20, p. 517–533.",
15,3,"Mindat.org, 2011, Langquan Au deposit, Leye Co., Baise Prefecture, Guangxi Zhuang Autonomous Region, China: Mineral List, 1 p., last accessed August 29, 2011, at http://www.mindat.org/loc-186836.html.","http://www.mindat.org/loc-186836.html"
15,4,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
16,3,"MMAJ, 2007, Mineral deposit data of the east Asia mineral resources map: Data Sheet, last accessed January 28, 2008, at http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls.","http://www.gsj.jp/Map/JP/docs/overseas_doc/DataSheet.xls"
16,4,"Peters, S.G., Huang, J., and Jing, C., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Qinling fold belt (Chuan-Shan-Gan) area, Shaanxi, Sichuan, and Gansu provinces, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 4, p. 167–254.",
16,5,"Xia, T-G., Sun, C.-M., Liu, C., Yang, Y.P., and Rao, J.-M., 2006, Geological features and genesis of the Lianhecun gold deposit, Sichuan, China: Journal of Chengdu University of Technology, v. 33, no. 4, p. 384–389 (in Chinese with English abstract).",
16,1,"Hu, R.-Z., Su, W.-C., Bi, X.-W., Tu, G.-Z., and Hofstra, A., 2002, Geology and geochemistry of Carlin-type gold deposits in China: Mineralium Deposita, v. 37, p. 378–392.",
16,2,"Mao, J., Goldfarb, R.J., Zhang, Z., Garwin, S., and Ren, F., 2002, Geology, distribution, and classification of gold deposits in the western Qinling belt, central China: Mineralium Deposita, v. 37, p. 352–377.",
17,5,"Peters, S.G., Huang, J., and Jing, C., 2002, Geology and geochemistry of sedimentary rock-hosted Au deposits of the Qinling fold belt (Chuan-Shan-Gan) area, Shaanxi, Sichuan, and Gansu provinces, P.R. China: U.S. Geological Survey Open-File Report 02–131, ch. 4, p. 167–254.",
17,6,"Wang, K., Yao, S., Yang, Y., and Dai, J., 2004, Geological characteristics and origin of Manaoke fine-grained disseminated gold deposit in northwestern Sichuan Province: Mineral Deposits, v. 23, no. 4, p. 494–501 (in Chinese with English abstract).",
17,8,"Zhou, T., Goldfarb, R.J., and Phillips, G.N., 2002, Tectonics and distribution of gold deposits in China—An overview: Mineralium Deposita, v. 37, p. 249–282.",
