id,tblorder,tblname,number,label,category,short_desc,description,link,origin,sqltype,dbftype,width,prec,units
564,1,main,64,startdate,"Site characteristics","Startup date","Initial and resumed date of mining",,,"character varying",C,17,,
565,1,main,65,stprov,"Geographic location","State or Province","Second order government units",,,"character varying",C,15,,
566,1,main,66,status,"Site characteristics",Status,"Status of mining or exploration of deposit",,,"character varying",C,22,,
567,1,main,67,stockplu,"Site characteristics","Stocks or plutons","Presence of stock or plutons within 2 km of deposits",,,"character varying",C,4,,
568,1,main,68,subtype,"Site characteristics",Subtype,"deposit subtype",,,"character varying",C,8,,
569,1,main,69,tect_set,"Site characteristics","Tectonic setting","Setting of deposit in regional tectonic unit",,,"character varying",C,125,,
570,1,main,70,tonnage,Commodities,"Total tonnage","Total tonnage of deposit (production + reserver + resource)",,,"double precision",N,6,2,tonnes
571,1,main,72,undergrd,"Site characteristics",Underground,"Mined  or minable by underground techniques",,,"character varying",C,4,,
572,1,main,73,veinstock,"Site characteristics","Vein stockwork","Presence of veins or stockwork",,,"character varying",C,4,,
573,2,names,,,,,"Additional names by which the deposit or site is known, or names of deposits included in the record by rules of proximity",,,,,,,
574,2,names,1,recno,"Site identification","Record ID","Unique identifier of the site within this database, a value of main:recno",,,integer,N,4,0,
575,2,names,2,role,Metadata,"Name role","Word indicating how this name relates to the site; as an alternate name (other) or included deposit (include)",,,"character varying",C,8,,
576,2,names,3,value,"Site identification",Name,"Alternative name or name of the included deposit",,,"character varying",C,24,,
577,3,minerals,,,,,"Minerals associated with the site,as gold-bearing, ore minerals, or gangue",,,,,,,
578,3,minerals,1,recno,"Site identification","Record ID","Unique identifier of the site within this database, a value of main:recno",,,integer,N,4,0,
579,3,minerals,2,role,"Site characteristics","Mineral role","Role the mineral has in the deposit: gold-bearing (gold), ore, or gangue",,,"character varying",C,8,,
580,3,minerals,3,value,"Site characteristics",Mineral,"Name of the mineral",,,"character varying",C,46,,
581,4,alteration,,,,,"Types of alteration at the site",,,,,,,
582,4,alteration,1,recno,"Site identification","Record ID","Unique identifier of the site within this database, a value of main:recno",,,integer,N,4,0,
583,4,alteration,2,value,"Site characteristics",Alteration,"Type of alteration reported in the deposit",,,"character varying",C,64,,
584,5,hostrock,,,,,"Types of host rock lithologies at the site",,,,,,,
585,5,hostrock,1,recno,"Site identification","Record ID","Unique identifier of the site within this database, a value of main:recno",,,integer,N,4,0,
586,5,hostrock,2,value,"Site characteristics","Rock type","Type of lithology associated with host rocks of the deposit",,,"character varying",C,64,,
587,6,ref,,,,,"Bibliographic references providing information about the site",,,,,,,
588,6,ref,1,recno,"Site identification","Record ID","Unique identifier of the site within this database, a value of main:recno",,,integer,N,4,0,
589,6,ref,2,seq,Metadata,Sequence,"Number giving the order in which this reference was shown in the original publication",,,integer,N,4,0,
590,6,ref,3,reference,"Bibliographic reference",Reference,"Bibliographic reference, typically the long form such as is found in the list of references for a scientific paper",,,"character varying",C,512,,
591,6,ref,4,onlink,"Bibliographic reference","Online Linkage","URL, if present in the reference",,,"character varying",C,160,,
592,7,datadxny,,,Metadata,,"Data dictionary, explaining tables and fields",,,,,,,
593,7,datadxny,1,id,Metadata,"Record ID","Row identifier within datadxny table",,,integer,N,4,,
594,7,datadxny,2,tblorder,Metadata,"Table order","Order in which this table should appear in some presentations",,,integer,N,4,,
595,7,datadxny,3,tblname,Metadata,"Table name","Name of the table",,,"character varying",C,20,,
596,7,datadxny,4,number,Metadata,"Ordinal position","Order in which this field occurs in the RDBMS",,,integer,N,4,,
597,7,datadxny,5,label,Metadata,"Field label","Label of the field in the RDBMS",,,"character varying",C,32,,
598,7,datadxny,6,category,Metadata,Category,"General category of information provided by the contents of the field",,,"character varying",C,50,,
599,7,datadxny,7,short_desc,Metadata,"Short description","Descriptive name of the field used in some presentations, not constrained by rules affecting the label",,,"character varying",C,40,,
600,7,datadxny,8,description,Metadata,Description,"Longer description of the purpose and contents of the field",,,"character varying",C,4096,,
601,7,datadxny,9,link,Metadata,Link,"URL providing more information about the field",,,"character varying",C,96,,
602,7,datadxny,10,origin,Metadata,"Origin of field","Abbreviation of an organization, data set, or other entity responsible for defining the field",,,"character varying",C,12,,
603,7,datadxny,11,sqltype,Metadata,"SQL type","Data type of the field as used in the RDBMS",,,"character varying",C,8,,
604,7,datadxny,12,dbftype,Metadata,"DBF field type","Data type of the field when expressed in DBF",,,character,C,1,,
605,7,datadxny,13,width,Metadata,"Field width","Field width when expressed in DBF",,,integer,N,4,,
606,7,datadxny,14,prec,Metadata,Precision,"Precision of the field (places to right of decimal) when expressed in DBF, only for numeric fields",,,integer,N,4,,
607,7,datadxny,15,units,Metadata,"Units of measure","Units of measure of the field values",,,"character varying",C,64,,
