recno,aggrd0,aggrd1,aggrd2,aggrd3,dep10km,auprgrd,augrd0,augrd1,augrd2,augrd3,augrd4,augrd5,augrd6,augrd7,augrd8,bedlens,comments,autonne,country,cntrycode,crushing,depagegeol,deparea,depcluster,deplen,depthick,depwidth,dikesill,discdate,faultzone,geochem,partsize,heapleach,introck,introckage,latitude,latdeg,latmin,latsec,locacc,longitude,londeg,lonmin,lonsec,depname,openpit,oreunit,orethick,orebreccia,owneroper,prodton,prodyear,aurecovery,rsvopyear,rsvtonop,rsvugyear,rsvtonug,rscopyear,rsctonop,rsctonug,rscugyear,srctongrd,startdate,stprov,status,stockplu,subtype,tect_set,tonnage,undergrd,veinstock
13,,,,0,,,,,0,5.25,,,,,5.25,yes,"The deposit consists of 20 lenticular orebodies conformable to bedding. Microscopic gold grains (6% of total Au) occur also on surface of sulfide minerals (Zhou and Wang, 2003).",30,China,CINA,yes,Mesozoic,2,"Dian-Qian-Gui ‘Golden Triangle’",3.5,34,0.7,,,yes,"Au, Ag, As, Sb, Hg","0.2 to 1",yes,,,24.5658333333333,24,33,57,Approximate,106.909722222222,106,54,35,Jinya,yes,"Middle Triassic Baifong Fm., middle member",700,yes,,,,,,,,,,5.7,,,"MMAJ (2007); Peters and others (2007)",,Guangxi,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",5.7,,yes
14,,,,0,"sediment-hosted Au (Cu,Se,U)",,,,1,1.86,,,,,1.86,yes,"At a 0.5 g/t cutoff, historically estimated resources contained 67.5 tonnes Au; the deepest significant drill gold intersection at 117 m depth. Size of visible gold in barite, dickite, and tiemannite is >1 mm; 75% of total gold particles are <35 microns; overall Au:Ag=1:1 (Sennitt, 2003; however Ag grade is not shown, VB). PGE content in ore (ppm): ≤0.2 Pt, ≤0.024 Pd, ≤0.005 (up to 10 ppm) Os. Mineralogical composition and geochemical signature may indicate two overprinting separate hydrothermal systems (Peters and others, 2002), that might have been sediment-hosted disseminated Au and epithermal Au systems (Sennitt, 2003).",23.4,China,CINA,yes,Cretaceous,0.6,"Western Qinling belt",2.1,35,0.35,yes,1986,yes,"Au, As, Sb, Hg, Ba, Se",≤1,,"earlier granodiorite porphyry; andesite-dacite, quartz diorite",137.4–129.7,34.2147222222222,34,12,53,Accurate,102.696666666667,102,41,48,Laerma,yes,"Lower Cambrian Laerma Fm.",200,yes,"Pargas Enterprises Ltd.",,,88.7,,,,,"1991, indicated+inferred",12.6,,,"Sennitt (2003)",,Gansu,inactive,,Chinese,"Qinling fold belt",12.6,,
15,,,,0,,,,,0,4.7,,,,,4.7,yes,"Explored. Some part of the mineral assemblage (balkanite, bismuthinite, cassiterite, magnetite, epidote, feldspar, kyanite, monazite, tourmaline, xenotime) implies magmatic influence indicating possible contact metamorphism (VB).",5,China,CINA,,Mesozoic,0.04,"Dian-Qian-Gui ‘Golden Triangle’",0.5,15,0.1,,,,"Au, As, Sb, Hg",,,,,24.8483333333333,24,50,54,Approximate,106.271111111111,106,16,16,Langquan,yes,"Lower Triassic",30,,,,,,,,,,,1.06,,,"MMAJ (2007)",,Guangxi,,,Chinese,"South China craton, platform at rifted southern margin",1.06,,
16,,,,0,,,,,0,4,,,,,4,yes,"Explored, partially mined out. The deposit is controlled by 150-m-wide tectonized zone along Carboniferous-Devonian contact and by granite porphyry dike swarm.",10,China,CINA,,,1.4,"Western Qinling belt",3,,0.6,yes,,,"Au, As, Hg, Sb, Tl",≤1,,"granite porphyry","Early Mesozoic",33.025,33,1,30,Approximate,104.370555555556,104,22,14,Lianhecun,yes,Carboniferous,0,,,,,,,,,,,2.5,,,"MMAJ (2007); Hu and others (2002)",,Sichuan,,,Chinese,"Qinling fold belt",2.5,,
17,,,,0,,,,,0,3.2,,,,,3.2,yes,"Mineralized layers and lenses are 80 to 1,100 m long, ≤6m thick, and ≤235 m down dip. Gold particles in oxide ore reach 180 microns, in refractory ore gold is associated with stibnite, realgar and scheelite (Gu and others, 2002).",21,China,CINA,,Mesozoic,1.6,"Western Qinling belt",4,6,0.5,yes,1990,,"Au, As, Sb, Hg, W","1 to 50",,"granite porphyry","Mesozoic (late Indosinian)",33.655,33,39,18,Accurate,104.063888888889,104,3,50,Manaoke,yes,"Middle Triassic Zagashan Fm., middle unit",300,yes,,,,,,,,,,6.6,,,"Mao and others (2002)",,Sichuan,"mining operations",,Chinese,"Qinling fold belt",6.6,,
18,,,,0,,,,,0,4.5,,,,,4.5,yes,Explored.,10,China,CINA,,Mesozoic,,"Dian-Qian-Gui ‘Golden Triangle’",0,,0,,,yes,"Au, Ag, As, Sb, Hg",≤1,,,,24.4102777777778,24,24,37,Approximate,106.852222222222,106,51,8,Mingshan,,"Middle Triassic Baifong Fm.",700,yes,,,,,,,,,,2.2,,,"MMAJ (2007)",,Guangxi,,,Chinese,"South China craton, platform at rifted southern margin",2.2,,
19,,,,0,,,,,0.5,1.99,,,,,1.99,yes,"The resources include oxidized ore to 150 m depth (Chinamining, 2006). Silver grade 0.6 g/t, Au:Ag=3:1 (Liu and others, 2006). Permian basalt overlays ore-bearing unit.",26.5,China,CINA,,"Late Jurassic",3.8,"Dian-Qian-Gui ‘Golden Triangle’",4,,1.2,,,yes,,≤1,yes,,,25.3786111111111,25,22,43,Accurate,104.934722222222,104,56,5,Nibao,yes,"Upper Permian Longuan Fm.",0,yes,"Golden China Resources Corp.",,,,,,,,"2006 NI 43-101 measured+indicated+inferred",13.3,,,"Chinamining (Golden China 2006)",,Guizhou,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",13.34,,
20,,,,0,"sediment-hosted Au",,,,1,2.21,,,,,2.21,yes,"The deposit was explored by trenches, drill-holes, and adits. No additional exploration data were reported after 2006. 14 stratabound orebodies located along EW-trending Xueshan (Snow Mtn.) fault. Two mineralogical types of ores are distinguished: (1) Au-realgar and (2) Au-pyrite, no visible gold has been observed.",19,China,CINA,,,1.8,"Western Qinling belt",3.2,20,0.7,yes,,,"As, Hg (Cu, Pb, Zn, Ni, Co)",,yes,granite,185–67,32.7277777777778,32,43,40,Approximate,103.682777777778,103,40,58,Qiaoqiaoshang,yes,"Middle–Upper Triassic Xinduqiao Fm.",0,yes,"GGG Resources Plc. (former Central China Goldfields)",,,,,,,,"2005, inferred",8.6,,,"Central China Goldfields (2006a, 2006b)",,Sichuan,"mining operations",,Chinese,"Qinling fold belt",8.6,yes,
21,,,,0,"sediment-hosted Au (Se)",,,,0,3.8,,,,,3.8,yes,"Explored. The deposit is lithologically controlled and associated with Lower Cambrian submarine exhalative siliceous sediments. Size of particles of native gold is ≤0.2 mm. Besides Au-Se mineralization, there are Cu, U, and Mo single and composite orebodies with 0.5–0.3% Cu and 0.05–0.02% U (Liu and others, 1997). In Au-ore Se minerals are in intergrowth with native Au and in interstices of quartz, barite, and stibnite grains. Complex mineralogical composition attests this deposit rather as igneous-affected (VB).",5,China,CINA,,"Late Mesozoic",0.14,"Western Qinling belt",0.6,30,0.3,yes,,,"Au, Sb, Hg, Ba, Se",,,"dacite porphyry (Au-mineralized)","Late Mesozoic–Tertiary",34.2111111111111,34,12,40,Approximate,102.725555555556,102,43,32,Qiongme,yes,"Lower Cambrian Laerma Fm.",0,yes,,,,,,,,,,1.3,,,"Mao and others (2002); MMAJ (2007)",,Sichuan,,,Chinese,"Qinling fold belt",1.3,,
22,,,,,,,,,,,,,,,,yes,"Approximate gold content 3.9 to 5.2 g/t Au, and as much as 100 ppm Tl (Cunninham and others, 1988).",,China,CINA,,,,"Dian-Qian-Gui ‘Golden Triangle’",0,6–15,0,,,yes,"Au, As, Sb, Hg, Tl",,,,,25.5169444444444,25,31,1,Approximate,105.616944444444,105,37,1,Sanchahe,,"Permian Longtan and Dalong Fms. and Triassic Yelang Fm.",100,,,,,,,,,,,,,,"no gold resource reported",,Guizhou,inactive,,Chinese,"South China craton, platform at rifted southern margin",,,
23,,,,0,,,,,,,0,6.9,,,6.9,yes,"Gold grades range 5.8–8.1 g/t Au (Mao and others, 2002), an approximate grade value respective to these limits was accepted. Probably, the resource is underground.",15,China,CINA,,Mesozoic,,"Western Qinling belt",0,,0,yes,,yes,"Au, Hg, As, Sb",,,granodiorite,Mesozoic,33.075,33,4,30,Approximate,104.483611111111,104,29,1,Shijiba,,"Lower-Middle Devonian",0,,,,,,,,,,,,2.2,,"Mao and others (2002)",,Gansu,"exploration (?)",,Chinese,"Qinling fold belt",2.2,,
24,,,,0,"sediment-hosted Au; sediment-hosted Tl-Hg",,,,,,0,,0,11,11,yes,"UG mining operations. >12 stratabound multistage orebodies. According to Zhang and others (2010), total resources of the deposit exceed 100 tonnes of gold at 7.0 to 10 g/t Au; according to Su and others (2008) average gold grades range 7.0 to 18 g/t Au. Unconformity-related gold mineralization was found at 1300 m depth (drill hole 1,411.08 m) indicating a possibility of significant gold reserve increase (Zhang and others, 2010).",55,China,CINA,yes,"Early Cretaceous",0.2,"Dian-Qian-Gui ‘Golden Triangle’",0.7,,0.3,,,,"Au, As, Hg, Sb","0.1 to 6",,,,25.4925,25,29,33,Approximate,105.483055555556,105,28,59,Shuiyindong,,"Permian Longtan and Maokou Fms.",300,yes,"Guizhou Zijin Mining Co., Ltd.",,,82,,,5,"before 2006, proven",,,,"before 2006","Su and others (2008); Zhang and others (2010); Eagle (2006)",2003,Guizhou,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",5,yes,
25,,,,,"sediment-hosted Hg",,,,,,,,,,,yes,"Hg past producer. Explored. 13 gold orebodies have been outlined, average gold grade 7.19 g/t Au (Peters and others, 2002, 2007).",,China,CINA,,Mesozoic,0.06,"Dian-Qian-Gui ‘Golden Triangle’",0.4,≤10,0.2,,1998,yes,,,,,,25.9175,25,55,3,Approximate,105.020277777778,105,1,13,Sixianchang,,"Upper Cambrian",0,,,,,,,,,,,,,,"no gold resource reported",,Guizhou,,,Chinese,"South China craton, platform at rifted southern margin",,,
26,,,,0,"sediment-hosted Au",,,,0,4.76,,,,,4.76,yes,"Hand-mining operations. Brittle-ductile deformation in mineralized carbonaceous zones; syndeformational deposit by Peters and others (2002)",6.2,China,CINA,,Mesozoic,2,"Western Qinling belt",1.7,12,1.5,yes,,,"Au, As, Hg (Pb, Zn, Ni)",≤1,yes,"granite, diorite","Early Mesozoic",32.7861111111111,32,47,10,Approximate,104.02,104,1,12,Songpangou,yes,"Middle Devonian Shanhe Fm.",0,yes,"Southwest Geological Exploration Bureau; GGG Resources Plc. (former Central China Goldfields)",,,,,,,,"historic, inferred",1.3,,,"Central China Goldfields (2006); Peters and others (2002)",,Sichuan,exploration,,Chinese,"Qinling fold belt",1.3,,
27,,,,0,,,,,0,3.37,,,,,3.37,yes,Explored.,3,China,CINA,,,,"Dian-Qian-Gui ‘Golden Triangle’",0,,0,,,yes,,,,,,24.4286111111111,24,25,43,Approximate,104.825555555556,104,49,32,Tangshang,,"dolomite, limestone, mudstone, siltstone (Upper Permian)",0,,,,,,,,,,,0.9,,,"MMAJ (2007)",,Yunnan,inactive,,Chinese,"South China craton, platform at rifted southern margin",0.9,,
28,,,,0,"sediment-hosted Au",,,,,,0,5.01,,,5.01,,"Explored. As (realgar) past producer before 1978. The deposit contains 9 steeply dipping orebodies. The latest sulfide assemblage is presented by chalcopyrite+galena+sphalerite (Su and others, 2009).",15.4,China,CINA,,Mesozoic,1.3,"Dian-Qian-Gui ‘Golden Triangle’",1.8,≤50,0.9,,1978,yes,"Au, As, Hg, Sb, Tl","0.5 to 3",,,,24.9208333333333,24,55,15,Accurate,105.658333333333,105,39,30,Yata,,"Middle Triassic Xuman Fm.",200,yes,,,,,,,,,,,3.1,,"MMAJ (2007)",,Guizhou,inactive,,Chinese,"South China craton, platform at rifted southern margin",3.1,yes,yes
29,,,,0,"sediment-hosted Hg",,,,0,3.38,,,,,3.38,yes,"Deposit consists of 5 layered orebodies containing 3.25 to 5.34 g/t Au, and up to 10 g/t in brecciated parts. Two separate Hg orebodies 80 m and 400 m long and 1.67 to 7 m wide, contain 0.042–0.097% Hg, located in Permian rocks (Peters and others, 2002).",11,China,CINA,,Mesozoic,1.3,"Western Qinling belt",1.6,10,1,,,yes,"Au, Sb, Hg, Ba",,,,,32.285,32,17,6,Approximate,104.258333333333,104,15,30,Yinchanggou,,Permian–Triassic,800,yes,,,,,,,,,,2.9,,,"Mao and others (2002)",,Sichuan,"mining operations",,Chinese,"Qinling fold belt",2.9,,
30,,,,0,"sediment-hosted Au",,,,0,3.66,,,,,3.66,yes,"162 drill holes intersected >40 stratabound mineralized zones and lenses extending up to 300 m down dip, they are partially covered by Eocene sediments (Yinfu Gold, 2010; Liu and others, 2010). Visible gold particles are 5 to 150 microns in size, 905–926‰ in fineness (Liu and others, 2010). Scheelite mineralization is mostly confined to gold zones containing 0.02–0.5% WO3 (Liu and others, 2008). Ore mineral diversity and presence of late intermetallic compounds may have related to superposed thermal (contact?) metamorphism originated by surrounding Mesozoic granite plutons (VB).",106.7,China,CINA,,Yanshanian,1.3,"Western Qinling belt",2.1,20,0.8,,2000,,"Au, As, Sb, Hg","1 to 5",yes,,,34.54,34,32,24,Approximate,104.207777777778,104,12,28,Zhaishang,yes,"Middle–Upper Devonian and Lower Permian",0,,"No. 5 Branch Group of China Armed Police",,,,,,,,"2008–2009, inferred (’333’ and ‘334’ Chinese code)",29.2,,,"Yinfu Gold (2010)",,Gansu,exploration,,Chinese,"Qinling fold belt",29.2,,
31,,,,0,"Au quartz vein",,,,0,3,,,,,3,yes,"4 orebodies are explored. K-feldspar hornfels and marble are resulted from contact metamorphism of the nearby Yinzu pluton.",15,China,CINA,,Mesozoic,0.1,"Middle-Lower Yangtze River",0.5,50,0.3,yes,,,"Au, As, Hg, Tl",<1,,diorite,Mesozoic,29.9158333333333,29,54,57,Approximate,114.880833333333,114,52,51,Zhanghai,yes,"Lower Silurian Gaojiabian Fm.",0,,"family-sized groups from Zhanghai village",,,,,,,,,5,,,"Peters and others (2002); MMAJ (2007)",,Hubei,"mining operations",,Chinese,"Middle-Lower Yangtze River fold belt",5,yes,
32,,,,0,"placer Au",,,,,,,,,,5,,"Mined out. Some quartz diorite porphyry dikes are mineralized.",2,China,CINA,,post-Indosinian,,"Western Qinling belt",0,,0,yes,1980s,yes,,,,"andesite porphyry, volcanic breccia",227,32.8788888888889,32,52,44,Approximate,103.300277777778,103,18,1,Zheboshan,yes,"Middle Triassic Zagulao Fm.",500,yes,,,,,,,,,,,,,"MMAJ (2007)",,Sichuan,inactive,,Chinese,"Qinling fold belt",0.4,,yes
33,,,,0,"sediment-hosted Au; sediment-hosted Tl-Hg",,,,,,,,0,6,6,yes,"Peters and others (2002, 2007) noted that the deposit reserve exceeds 32 tonnes of gold at 5.95 g/t Au, visible gold presents 20% of total gold amount. MMAJ (2007) reported reserve 54.9 tonnes of gold at 5.27 g/t Au. Mineralization extends to 500 m deep; oxide ore was mined out by open pit transferring to underground mining.",60,China,CINA,yes,Mesozoic,0.1,"Dian-Qian-Gui ‘Golden Triangle’",1.4,24,0.1,,1984,yes,"Au, As, Hg, Sb, Tl",≤1,yes,,,25.5880555555556,25,35,17,Approximate,105.374166666667,105,22,27,Zimudang,yes,"Permian Maokou, Longtan, Yelang and other Fms.",560,yes,,,,,,,10,"before 2002",,,,,"Hu and others (2002)",,Guizhou,"mining operations",,Chinese,"South China craton, platform at rifted southern margin",10,yes,
34,,,,0,"low-sulfidation epithermal Au; karst-filling Au",7.88,2,6.89,,,,,,,7.88,yes,"Mined out. Waste:ore=(8.65–2):1. The 1996–2004 production includes 5.54 Mt milled ore at 10.97 g/t Au, and 3.4 Mt heap leach ore at 2.88 g/t Au (Briggs, 2006). Refractory sulfide ores comprise 83% of total tonnage, oxide ore (17%) mined to 70 m depth (Garwin and others, 1995). Disseminated gold mineralization overprinted by low-sulfidation epithermal quartz-calcite gold veins. Silver grade <10 g/t Ag, Au:Ag=10:1 to 2:1. The deposit is structurally confined to inferred dilational jog at intersection of NW and EW strike-slip faults (Turner and others, 1994). Combination of different mineralized breccia: sedimentary, karst, collapse, and fault. 90% gold recovery indicates gold extraction in metallurgical process.",70.5,Indonesia,INDS,yes,"late Miocene–Quaternary",0.2,"Ratatotok district",0.6,60,0.4,yes,1988,yes,"Au, As, Sb, Hg, Tl",<10,yes,"andesite subvolcanic intrusion (sill, plug)",13.9–11.2,0.887222222222222,0,53,14,Approximate,124.666388888889,124,39,59,Mezel,yes,"Miocene Ratatotok Limestone",0,yes,"Newmont Gold Co. 80%; PT Tanjung Serapung 20%",8.94,1996–2004,90,"1994, mineable",7.75,,,,,,,"Turner and others (1995); Briggs (2006)",1995,"North Sulawesi",inactive,,Carlin,"Neogene North Sulawesi volcanic island arc",8.94,,
